domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.faz.net,0.0236868842364532,0.18286118429483494,0.08647167487684729,0.13225378001245475,58.0
www.zeit.de,0.012946428571428569,0.1561131391953836,0.07782738095238095,0.11614903333098792,56.0
www.stern.de,-0.034463083213083216,0.1754576014772566,0.07079725829725829,0.12387049381910337,33.0
www.golem.de,0.0711574074074074,0.09076277009768738,0.028174603174603175,0.05869566214205318,30.0
www.sueddeutsche.de,-0.0083843537414966,0.2405548364171611,0.058333333333333334,0.104182097622483,28.0
www.welt.de,0.022624716553287978,0.21928678867230234,0.08361678004535147,0.12504982270225862,21.0
www.tagesspiegel.de,0.07541666666666666,0.20092559605133872,0.09261904761904763,0.13604892129948182,20.0
taz.de,-0.039479166666666676,0.23547565632613113,0.19114583333333332,0.09862333648787187,16.0
www.diepresse.com,0.1038343253968254,0.16482003368150208,0.09737103174603175,0.12404221748387505,16.0
www.tagesschau.de,-0.061336996336996345,0.230047314065651,0.06517094017094016,0.11556254088025607,13.0
www.n-tv.de,0.1070188492063492,0.22042990135299464,0.08948412698412699,0.1280943865069833,12.0
www.basicthinking.de,0.08425925925925926,0.17317122048694542,0.06666666666666668,0.13228756555322954,9.0
www.nzz.ch,-0.021081349206349208,0.20278309580070722,0.09404761904761905,0.11201687826916429,8.0
www.dw.com,0.002604166666666668,0.1993906578167673,0.17038690476190477,0.14838161264840477,8.0
www.freitag.de,0.07141723356009069,0.10380819324838828,0.12188208616780045,0.12330300773799947,7.0
www.spektrum.de,-0.04047619047619048,0.14332595034510687,0.023809523809523808,0.06299407883487121,7.0
www.telepolis.de,-0.0009259259259259597,0.40843599112680634,0.03333333333333333,0.08164965809277261,6.0
www.bild.de,0.005333333333333345,0.2716395692007252,0.064,0.14310835055998655,5.0
www.morgenpost.de,0.131875,0.09276706940863587,0.05,0.1,4.0
www.prnewswire.com,0.17499999999999996,0.3499999999999999,0.0,0.0,4.0
www.focus.de,-0.14916666666666667,0.40565790184998657,0.0,0.0,4.0
www.gamestar.de,-0.08222222222222222,0.36370521233752134,0.05555555555555555,0.09622504486493763,3.0
www.derstandard.at,0.3222222222222222,0.2795499027868694,0.027777777777777776,0.048112522432468816,3.0
scilogs.spektrum.de,0.4166666666666667,0.14433756729740646,0.16666666666666666,0.2886751345948129,3.0
t3n.de,0.17400793650793653,0.2742467609713015,0.13095238095238096,0.12542444943872308,3.0
ooe.orf.at,0.05000000000000001,0.21213203435596428,0.0,0.0,2.0
orf.at,-0.0875,0.12374368670764581,0.25,0.0,2.0
salzburg.orf.at,0.04666666666666666,0.2639865316429777,0.2,0.28284271247461906,2.0
hallespektrum.de,0.0,1.0,0.0,1.0,1.0
steiermark.orf.at,0.0,1.0,0.0,1.0,1.0
noe.orf.at,0.0,1.0,0.0,1.0,1.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
wien.orf.at,0.0,1.0,0.0,1.0,1.0
www.gamepro.de,0.0,1.0,0.0,1.0,1.0
www.derstandard.de,0.0,1.0,0.0,1.0,1.0
www.deutsche-startups.de,0.0,1.0,0.0,1.0,1.0
www.jungewelt.de,0.0,1.0,0.0,1.0,1.0
www.drweb.de,0.0,1.0,0.0,1.0,1.0
www.globenewswire.com,0.0,1.0,0.0,1.0,1.0
burgenland.orf.at,0.0,1.0,0.0,1.0,1.0
